# ['Data file recorded 2013/1/18  16:30:9']
# ['%  keyboard_telem with hall effect ']
# ['%  motorgains    = [400, 0, 400, 0, 0, 400, 0, 400, 0, 0]\r\n%  delta         = [16384', ' 16384', ' 16384', ' 16384]"']
# ['%  intervals     = [128, 128, 128, 128]']
# ['% Columns: ']
# ['% time | Rlegs | Llegs | DCR | DCL | GyroX | GryoY | GryoZ | GryoZAvg | AX | AY | AZ | RBEMF | LBEMF | VBAT ']
306   3.33   3.96   614  -203  -210  -551   -45   -10  3538  -592  1493    -6     1   933  
310   3.33   3.96   755  -185    -2    81   -22    -7  3241  -480  1638    -6     6   930  
313   3.36   3.96   493   255    -2    81   -22    -8  3241  -480  1638     9    -6   932  
316   3.35   3.98   884   320    -2    81   -22   -10  3241  -480  1638     1    -2   931  
320   3.38   3.98   952   363    18   414    17   -10  3386  -578  1442     3     2   928  
323   3.40   3.98  1019   429    18   414    17    -9  3386  -578  1442     5     5   930  
326   3.45   3.98   634   320    -5   368    17    -8  3083  -594  1096    26    17   929  
330   3.47   4.00   878   360    -5   368    17    -1  3083  -594  1096    21    20   930  
333   3.52   4.03   867   754    -5   368    17     5  3083  -594  1096    25     9   931  
336   3.57   4.05  1334   968   -48   242   -57     4  3512  -614   564    12     7   925  
340   3.59   4.10  1504   833   -48   242   -57     3  3512  -614   564    10    16   923  
343   3.64   4.12  1269   577    24    93   -60     2  3432  -374   437    23    31   927  
346   3.71   4.20  1111   667    24    93   -60    -1  3432  -374   437    34    32   929  
350   3.74   4.22  1552  1009    38   -83   -67    -5  4025  -515   984    21    23   929  
353   3.78   4.27  1745  1200    38   -83   -67   -16  4025  -515   984    17    19   929  
356   3.83   4.32  1436   964    38   -83   -67   -27  4025  -515   984    35    34   926  
360   3.88   4.37  1777  1031    44  -147    36   -34  3023  -641   962    25    35   926  
363   3.93   4.44  3598  2954    44  -147    36   -33  3023  -641   962    33    38   926  
366   4.02   4.53  3664  2870   -17  -146   -39   -35  2605  -649   826    34    45   895  
370   4.15   4.70  2977  2195   -17  -146   -39   -26  2605  -649   826    62    71   902  
373   4.32   4.83  2018  1731   -17  -146   -39   -18  2605  -649   826    99    90   927  
376   4.57   5.08  1704  1238   -24  -254    51    -7  2987  -558   767   109   107   934  
380   4.80   5.25  1266   928   -24  -254    51     3  2987  -558   767   123   118   933  
383   5.00   5.44   879   930    24  -452   163    17  2556   216  2143   136   116   939  
386   5.30   5.64   334  1037    24  -452   163    15  2556   216  2143   153   111   938  
390   5.53   5.82   -82  1000   247   260   188    13  5122   357  2111   166   111   937  
393   5.75   5.99   -94   511   247   260   188    14  5122   357  2111   163   129   937  
396   6.02   6.21  -103   600   247   260   188    16  5122   357  2111   160   124   938  
400   6.18   6.35   220   822  -126   996   -27    11  2586  -1144    37   146   115   935  
403   6.37   6.50   419   967  -126   996   -27    11  2586  -1144    37   136   109   934  
406   6.56   6.73   989   941  -278  -257  -480    -2  9728  -912  1181   113   108   930  
410   6.71   6.88  1533  1138  -278  -257  -480   -16  9728  -912  1181    91   100   928  
413   6.83   7.04  1754  1062  -278  -257  -480   -30  9728  -912  1181    83   102   926  
420   7.06   7.42  1943  1426    48   406  -370   -51  2048  -2081   992    79    85   921  
423   7.19   7.55  2385  1390   108  -165   147   -46  4705  -1292  1326    62    87   925  
426   7.33   7.77  2352  1159   108  -165   147   -42  4705  -1292  1326    65    95   923  
430   7.46   7.89  2134  1344   105   189   678   -21  2382   102  1187    69    83   922  
433   7.58   7.99  1613  1074   105   189   678    -1  2382   102  1187    85    90   926  
436   7.79   8.17  1244  1132   105   189   678    19  2382   102  1187    92    81   931  
440   7.94   8.29   922   937  -494  -565   488    34  3030  -304   602    99    84   931  
443   8.04   8.42  1302  1166  -494  -565   488    51  3030  -304   602    80    70   931  
446   8.24   8.57   905   895  -302   -89   220    59  3210  -596   458    88    75   932  
450   8.40   8.67   457  1099  -302   -89   220    68  3210  -596   458   100    63   933  
453   8.57   8.75   -15   876  -302   -89   220    77  3210  -596   458   112    69   935  
456   8.75   8.88   -10   584   -90   -82   -78    77  2964  -595   771   105    76   935  
460   8.90   8.96  -258   638   -90   -82   -78    76  2964  -595   771   109    71   935  
466   9.23   9.16  -118   754   418  -252  -313    58  4270   322   541    91    59   933  
470   9.33   9.23  -466   813   412    57  -476    42  2970  -136   207   101    54   933  
473   9.44   9.33  -397   824   412    57  -476    28  2970  -136   207    94    50   933  
476   9.56   9.44   173   565   412    57  -476    14  2970  -136   207    67    56   935  
480   9.65   9.54   384   523   181  -364  -235     8  3544  -441  1760    55    54   933  
483   9.70   9.66   272   112   181  -364  -235     0  3544  -441  1760    58    66   935  
486   9.77   9.80   738   -73    21  -455   -94    -4  5079  -1233  2276    37    68   934  
493   9.83  10.02  -813  -2177    21  -455   -94   -20  5079  -1233  2276    20    67   915  
496   9.81  10.07     1  -1065  -142    51   -13   -27  3795  -1172  1769   -11    21   924  
500   9.78  10.07   159  -706  -142    51   -13   -33  3795  -1172  1769   -16     7   929  
503   9.76  10.07   489  -500   -27   393   120   -35  3969  -1600  2384   -28    -1   931  
506   9.71  10.07   500  -637   -27   393   120   -30  3969  -1600  2384   -26     5   934  
510   9.69  10.07   507  -580   242   917   494   -14  2589  -746  1201   -25     3   932  
513   9.66  10.07   215  -625   242   917   494    15  2589  -746  1201   -12     5   934  
516   9.64  10.07   451  -413   242   917   494    46  2589  -746  1201   -20    -3   935  
520   9.62  10.07   257  -330  -437   290     6    61  3251  -680   -20   -11    -6   932  
523   9.62  10.07   291  -497  -437   290     6    73  3251  -680   -20   -12     1   934  
526   9.62  10.07    53  -510  -226  -116  -299    75  4721   277    46    -2     2   933  
530   9.61  10.07  -137  -453  -226  -116  -299    61  4721   277    46     6     0   932  
533   9.62  10.07    -5  -569  -226  -116  -299    47  4721   277    46     1     5   934  
536   9.61  10.07   132  -534    54   132    46    27  2962  -337  -194    -4     4   933  
540   9.62  10.07   -15  -225    54   132    46     7  2962  -337  -194     2    -8   931  
543   9.59  10.07   245  -219   270  -314   -34   -14  3834  -175   566    -7    -8   935  
